id,det_suc,imbalfor,stbalfor,ltbalfor,nuke,alliance,arms_xfr,for_trde,fbf,tft,putdn,stale,pdip_def,pdet_suc,capit,arm_spt
1,1,.55000001,.38,.54000002,0,1,10,0,1,1,1,0,0,0,0,0
2,1,.47999999,2.8800001,6.0300002,0,0,8,2.5,0,0,0,0,0,0,0,0
3,1,5.5599999,1.72,5.4099998,0,0,1,2.0999999,0,1,0,0,0,1,0,0
4,0,.67000002,.95999998,2.48,0,0,1,4,0,0,0,1,0,0,0,0
5,1,5,2.46,6.3299999,0,0,1,0,0,1,1,0,0,1,0,0
6,1,5,.14,.44,0,0,10,1.9,0,0,0,1,0,1,0,0
7,1,3,.20999999,.18000001,0,0,4,.69999999,1,0,0,0,0,0,0,0
8,0,.52999997,.95999998,2.22,0,0,3,3,0,0,1,0,0,0,0,0
9,1,.5,2.3399999,6.6500001,0,0,1,0,0,1,0,0,0,1,0,0
10,0,.25,.88999999,1.42,0,0,1,.30000001,0,0,0,0,0,0,0,0
11,1,.97000003,.63,.33000001,0,1,1,6.3000002,1,1,0,0,0,1,0,0
12,1,1,.60000002,1.5599999,0,0,10,2.5,1,1,0,0,0,1,0,0
13,1,1.8200001,.97000003,1.11,0,1,1,9.5,0,0,0,1,0,0,1,0
14,0,.33000001,.75,.41999999,0,1,10,.40000001,0,0,0,0,1,0,0,0
15,0,.33000001,.85000002,1.42,0,0,1,.40000001,1,0,0,0,0,0,0,0
16,1,.94999999,.64999998,.40000001,0,1,1,6.6999998,1,1,1,0,0,1,0,0
17,1,1.8200001,.94,.97000003,0,0,1,0,1,0,1,0,0,1,0,1
18,1,1.5,1.85,5.6799998,0,1,1,.60000002,0,1,0,0,0,0,0,0
19,0,1.2,.69,.73000002,0,0,1,.5,0,1,0,0,0,0,0,0
20,1,1.8200001,1.74,4.9899998,0,0,1,0,0,0,1,0,0,1,0,0
21,0,1.65,.56999999,.57999998,0,0,1,.30000001,1,0,0,0,1,1,0,0
22,0,.61000001,.83999997,1,0,1,1,9.3000002,0,1,1,0,0,1,0,0
23,0,1.02,1.0700001,.69,0,1,1,5.6999998,1,0,1,0,0,1,0,0
24,0,.38999999,.22,.1,0,0,2,3,1,0,1,0,0,1,0,0
25,1,4.54,5.8000002,6.6900001,0,0,10,.2,0,1,0,0,0,1,0,0
26,1,1,1.1799999,3.4400001,0,0,5,.60000002,1,1,0,0,0,0,0,1
27,0,.12,.63999999,.69999999,0,0,3,.1,1,0,1,0,0,1,0,0
28,1,1,1.62,2.28,0,1,10,6.5,1,1,0,1,0,0,0,0
29,1,1,.43000001,.22,0,1,10,6.4000001,0,1,0,1,0,0,0,0
30,0,.5,.36000001,.17,0,1,10,6.5,0,1,1,0,0,1,0,0
31,0,.75,1.12,.77999997,0,0,3,.60000002,0,0,0,0,1,0,1,0
32,1,.70999998,1.1,1.28,0,1,10,2.7,0,1,0,0,0,0,1,0
33,0,.52999997,1.12,.50999999,0,1,2,1.1,1,0,0,0,1,0,0,0
34,1,.69999999,.81999999,.69999999,0,0,2,1.6,1,1,0,0,0,0,0,0
35,1,.80000001,.18000001,.49000001,1,0,3,.30000001,1,0,0,0,0,0,0,0
36,1,1.21,.38999999,.66000003,1,0,6,1.1,1,0,0,1,0,1,0,0
37,1,.1,.34,.43000001,1,0,6,0,1,1,0,1,0,1,0,0
38,1,1.5,.34999999,.54000002,1,0,1,0,0,1,0,0,0,1,0,0
39,0,.15000001,1.5599999,.87,0,0,1,.60000002,0,0,0,1,0,0,0,0
40,1,.22,.60000002,.58999997,1,1,10,.40000001,1,1,1,0,0,1,0,0
41,1,1.09,2.3399999,3.1400001,1,0,8,.1,0,0,0,1,0,0,0,0
42,1,.60000002,1.55,3.9200001,1,1,10,1.4,1,1,0,0,0,1,0,0
43,1,2.24,1.5599999,5.5300002,1,1,10,0,1,0,0,0,0,1,0,0
44,0,.17,.059999999,.0099999998,0,1,10,.40000001,0,0,1,0,0,0,0,0
45,0,.69999999,.15000001,.0099999998,0,1,10,.40000001,1,1,1,0,0,0,0,0
46,0,.67000002,.58999997,.51999998,1,1,9,.89999998,0,1,0,1,0,1,0,0
47,0,2.45,1.79,5.5300002,1,1,10,.69999999,1,0,0,1,0,1,0,0
48,1,.94999999,1.11,1,0,0,5,3.5,0,0,0,1,0,0,0,1
49,0,1.61,.81,2.3900001,0,1,1,.30000001,0,0,0,0,1,0,0,0
50,0,1.28,.28999999,.14,0,0,5,.5,0,1,0,1,0,0,0,0
51,1,1,1.74,1.0599999,0,0,1,.89999998,0,1,1,0,0,0,0,0
52,1,.67000002,1.46,1.84,1,0,5,2.0999999,0,0,0,0,1,1,0,0
53,0,.64999998,.34,.16,0,0,1,.89999998,0,1,0,0,1,0,1,0
54,0,.77999997,1.67,3.02,0,1,10,.1,0,1,1,0,0,0,0,0
55,1,1.3,4.04,4.02,1,1,10,0,1,1,0,0,0,1,0,1
56,1,.75,3.8099999,3.73,1,1,10,0,1,1,0,1,0,1,0,0
57,0,.28999999,.82999998,.82999998,1,1,10,.60000002,0,0,1,0,0,0,0,0
58,1,1.15,2.0699999,5.2600002,1,0,6,0,1,1,0,0,1,0,0,0
